,std_MP_median_h0,std_MP_median_h1,std_MP_median_h2,std_MP_median_h3,std_MP_median_h4,std_MP_median_h5,std_MP_median_h6,std_MP_median_h7,std_MP_median_h8,std_MP_median_h9,std_MP_median_h10,std_MP_median_h11,std_MP_median_h12,std_MP_median_avg_upstreamness_h0,std_MP_median_avg_upstreamness_h1,std_MP_median_avg_upstreamness_h2,std_MP_median_avg_upstreamness_h3,std_MP_median_avg_upstreamness_h4,std_MP_median_avg_upstreamness_h5,std_MP_median_avg_upstreamness_h6,std_MP_median_avg_upstreamness_h7,std_MP_median_avg_upstreamness_h8,std_MP_median_avg_upstreamness_h9,std_MP_median_avg_upstreamness_h10,std_MP_median_avg_upstreamness_h11,std_MP_median_avg_upstreamness_h12
std_MP_median_h0,9.76388607061163e-05,,,,,,,,,,,,,-2.3337188039926416e-06,,,,,,,,,,,,
std_MP_median_h1,,0.0001626989571514639,,,,,,,,,,,,,-1.570251604771687e-05,,,,,,,,,,,
std_MP_median_h2,,,0.00011852958311339224,,,,,,,,,,,,,-1.5439282763203733e-05,,,,,,,,,,
std_MP_median_h3,,,,2.4949310043572516e-05,,,,,,,,,,,,,-1.861777824711259e-06,,,,,,,,,
std_MP_median_h4,,,,,0.00011859659058222429,,,,,,,,,,,,,-3.174579906933594e-06,,,,,,,,
std_MP_median_h5,,,,,,6.791611220033562e-05,,,,,,,,,,,,,-1.1892139683806641e-05,,,,,,,
std_MP_median_h6,,,,,,,0.0001579533162404062,,,,,,,,,,,,,-7.975526299000826e-06,,,,,,
std_MP_median_h7,,,,,,,,6.744301463856784e-05,,,,,,,,,,,,,-6.183660603921123e-06,,,,,
std_MP_median_h8,,,,,,,,,0.000218360329783865,,,,,,,,,,,,,-5.3522311128229225e-06,,,,
std_MP_median_h9,,,,,,,,,,0.00010654722690517711,,,,,,,,,,,,,-1.0393537610962625e-05,,,
std_MP_median_h10,,,,,,,,,,,0.00036592105963962067,,,,,,,,,,,,,-2.110765437334046e-05,,
std_MP_median_h11,,,,,,,,,,,,0.00014223194058891656,,,,,,,,,,,,,-1.707513593566131e-05,
std_MP_median_h12,,,,,,,,,,,,,0.00021229388238915966,,,,,,,,,,,,,-9.660014832966616e-06
std_MP_median_avg_upstreamness_h0,-2.3337188039926107e-06,,,,,,,,,,,,,1.979596154503926e-06,,,,,,,,,,,,
std_MP_median_avg_upstreamness_h1,,-1.5702516047716816e-05,,,,,,,,,,,,,2.6702251432458095e-06,,,,,,,,,,,
std_MP_median_avg_upstreamness_h2,,,-1.5439282763203757e-05,,,,,,,,,,,,,3.236592048065379e-06,,,,,,,,,,
std_MP_median_avg_upstreamness_h3,,,,-1.8617778247112704e-06,,,,,,,,,,,,,2.5529820146682973e-06,,,,,,,,,
std_MP_median_avg_upstreamness_h4,,,,,-3.1745799069335584e-06,,,,,,,,,,,,,9.298580538623059e-07,,,,,,,,
std_MP_median_avg_upstreamness_h5,,,,,,-1.1892139683806647e-05,,,,,,,,,,,,,3.863287946036483e-06,,,,,,,
std_MP_median_avg_upstreamness_h6,,,,,,,-7.975526299000846e-06,,,,,,,,,,,,,7.626525310564709e-07,,,,,,
std_MP_median_avg_upstreamness_h7,,,,,,,,-6.183660603921114e-06,,,,,,,,,,,,,1.2183837391894254e-06,,,,,
std_MP_median_avg_upstreamness_h8,,,,,,,,,-5.3522311128229835e-06,,,,,,,,,,,,,1.441456137084783e-06,,,,
std_MP_median_avg_upstreamness_h9,,,,,,,,,,-1.0393537610962564e-05,,,,,,,,,,,,,2.3382627514887327e-06,,,
std_MP_median_avg_upstreamness_h10,,,,,,,,,,,-2.11076543733406e-05,,,,,,,,,,,,,1.5812814604267467e-06,,
std_MP_median_avg_upstreamness_h11,,,,,,,,,,,,-1.7075135935661295e-05,,,,,,,,,,,,,2.8374959677969494e-06,
std_MP_median_avg_upstreamness_h12,,,,,,,,,,,,,-9.660014832966617e-06,,,,,,,,,,,,,2.3193191306301338e-06
